precinct,Year,total_pop,minority_pct,per_capita_income_inflation_adjust,total_pop_lag1,minority_pct_lag1,per_capita_income_lag1
46,2007,123577.20879120706,0.6757310183287473,19109.25741281919,124521.0714285695,0.718579933290016,16522.649893469177
47,2007,203470.30769230425,0.5855942101970157,27994.80153184384,204948.84615384229,0.6156045614627033,24628.042827010155
48,2007,127697.49450549437,0.8316752085127632,17510.04820892494,126292.87362637324,0.8851974379746963,13404.949055438861
49,2007,132206.70329670468,0.6958205319935331,18699.010594209656,130578.94505494647,0.7323923679430777,16324.591630764306
50,2007,107600.59340659203,0.6816268436482176,24150.883825302124,108672.37912087748,0.7108066643309954,22003.647278794087
52,2007,146308.5164835171,0.5655513909287677,24856.52684855368,146305.9945054952,0.5905146177405385,22039.28757589776
60,2007,86887.98901099246,0.4515424730443147,15168.66610729089,84034.67032967415,0.45294866627125074,13378.379517102148
61,2007,6195.082750582835,0.7253740663909554,13123.579277241603,6487.131701631821,0.7630593373008026,10779.226306382567
62,2007,232404.85714286566,0.5048033716373812,15470.603203069884,225118.52197802998,0.5091576423020552,14163.90572111914
63,2007,171348.28571428824,0.7360919082169772,19722.66908843955,167364.03296703473,0.7733517130071021,18552.842445357703
66,2007,225879.681318691,0.3416392338080989,19436.432905932656,220404.90109891072,0.3300868422564278,18469.68337892508
67,2007,176379.49450550415,0.9141635425192476,17267.841304595117,169164.48901099898,0.9717627762130405,15304.982114358805
68,2007,189479.75824176334,0.5723872706188828,19714.828001705697,183953.78571429104,0.5856392972712179,18698.534278597916
69,2007,115463.04395604506,0.7856514996147439,14110.900217040442,113596.12637362722,0.8279838359302119,11722.084256949835
70,2007,170242.43956044503,0.4389940355925146,19181.65333893383,165555.72527473047,0.43892497662545943,18188.91902086977
71,2007,115883.63736264035,0.881598775126605,16309.4493175135,113526.19780220091,0.9329321182962218,14462.512094161939
72,2007,125717.1978022065,0.4578816585833074,27376.417540491442,119828.89560440369,0.46124397453954824,26964.588100881432
73,2007,117363.78021979332,0.7117420347044643,12279.013679489493,107041.63736265153,0.7408627289469223,9787.73698943574
75,2007,230589.87912088167,0.40931064166920983,17008.148924065288,228020.7197802225,0.41638759611327103,14952.057596820407
76,2007,70780.04395604739,0.4687650519220439,36299.811272900784,68690.54945055256,0.4709656672727993,36916.7381263657
77,2007,116324.61538462527,0.7651316734082485,18598.77442054404,107997.34615385532,0.7962389289048346,17138.959305398166
78,2007,126323.21978022903,0.5875389602576,31854.086128671013,118406.40109891072,0.5988707068871477,32016.403923968843
79,2007,139957.01098901965,0.735623858548557,15193.917276256718,135044.44505495392,0.7587263126124952,13801.964485399425
81,2007,114671.67032967694,0.6665706426935998,13487.701501061674,108472.72527473234,0.6777732616738064,11896.313328040764
83,2007,151612.14285715297,0.5178396494662063,14391.039393653162,145287.7087912187,0.5166570494791156,12932.323095556349
84,2007,124419.23076923331,0.4876071710080545,45360.228162213694,122722.34615384834,0.5013868465498454,46474.56788769737
88,2007,109703.24175824597,0.5367021574078983,27508.156927602642,104332.56043956429,0.5455904604251174,27439.11630155453
90,2007,130731.03296704218,0.28060731332985256,25693.00053552445,123431.25824176706,0.25912037342069993,25222.291768391966
94,2007,48987.91208792105,0.18228304744906865,31189.49215446011,43821.78571429476,0.15605953296130792,31307.63663376996
100,2007,42932.45054944791,0.5948092008297134,23634.356003948138,44904.82417582115,0.5904416194380975,23462.47229129175
101,2007,38660.670329670735,0.575631009827184,23356.889987099683,38614.99450549496,0.5976245405576535,22385.67613795749
102,2007,252823.90109888092,0.46619107861346265,22782.47472139029,266096.4175823964,0.47066413976421195,21660.242025751155
103,2007,155778.08791206777,0.7341948085216128,18118.953301620204,165053.5989010781,0.7382387043759753,17013.14251388563
104,2007,220355.40659339726,0.47005527449015716,24673.42704105936,229464.62087911367,0.45108467680639563,24282.465466350084
105,2007,288951.78021977097,0.5374399608649156,24642.931861873716,298188.0604395494,0.5473746419603707,23655.956358208787
106,2007,161368.97802196816,0.5885330408692049,20815.18374999147,170175.6483516395,0.6007489378864861,19682.627737435047
107,2007,162489.0439560339,0.600710446660166,24364.282618886675,171497.35714284703,0.5880270935409655,24098.47564616683
108,2007,125121.9340659231,0.5556444726539205,20464.38765725447,132417.5604395494,0.5475180785837139,19496.124347960344
109,2007,230967.2747252509,0.6261270693123766,23200.08981283696,244910.1648351401,0.6180599067895738,22876.45426061505
110,2007,148440.83516482636,0.7010806567943373,19134.35353835672,157064.70879120007,0.6929811797995828,18255.012414130615
111,2007,151783.32967031747,0.3158943428968115,24575.72819973575,158496.197802186,0.28996069344424313,23976.010043076938
112,2007,107608.85714285076,0.6528091221717602,26872.31295333247,114079.63736262918,0.6390101191189146,26859.568574922345
114,2007,215579.10989009961,0.4331863357348683,28140.22164997994,225997.2197802104,0.432515467910093,27364.951075172983
115,2007,129817.54945053905,0.6579494813599815,18516.062608331675,137803.17582416534,0.6669532198745145,17513.414961259812
120,2007,150740.9780219607,0.20064911910479566,27576.468801454175,159878.571428556,0.20831971968952878,27244.946378766443
121,2007,146928.64835163578,0.21150191212380598,28802.78406801098,156865.83516482264,0.20638015211371652,28641.093450989923
122,2007,152590.57142855227,0.1000607203375079,22176.472435509786,162351.68131866306,0.09459854706440574,20875.89786154218
123,2007,66248.39560439065,0.12358898656562367,27772.05508685985,70728.48351647891,0.11596996390346348,27311.341740367003
1,2008,86405.80769230891,0.2796855976974264,78701.64842027426,84849.59340659436,0.2734575901708869,83091.96554177254
5,2008,94813.53846153908,0.3677828272358852,67941.57259971835,94276.72527472593,0.376204676246612,71197.35760387965
6,2008,75305.3846153887,0.22958942946471694,84834.7872844059,72946.40659341123,0.210173076555634,89394.4173053205
7,2008,88136.00000000026,0.3645785402062387,64524.59534036834,88241.83516483547,0.3842974748237822,67202.05605112948
9,2008,114139.69230769319,0.25881507116224256,72775.39456919767,113320.35164835257,0.2529242642820062,76640.7563779559
10,2008,84187.76923076669,0.30523339575414354,72312.84700055327,85716.42857142584,0.29449262061676507,75136.70210179687
13,2008,109969.84615384974,0.2528055503756548,77976.7132019978,107823.25274725724,0.23565113044253394,82210.07185165584
14,2008,92691.42307691881,0.2989097841194308,83933.80720915832,94179.41758241318,0.2800965140274343,88384.25313665718
17,2008,81307.23076922959,0.23076434527174428,100478.89233717322,82091.89010988898,0.2076568895226103,106462.63325489126
18,2008,125764.65384614747,0.362395920043344,74064.95455570053,128971.99999999348,0.35194560514943873,76955.91853176989
19,2008,208076.34615384042,0.33782473764085275,80695.4030584842,211427.8021977963,0.3363403741612605,83832.56772216782
20,2008,77744.26923077035,0.5442564973552706,55460.91074362188,77504.89010989136,0.566344688406339,56439.7250941603
22,2008,155964.30769230425,0.5192271404246398,60427.66484569339,158567.1208791174,0.536629929923393,61750.10701305512
23,2008,118423.19230769202,0.6664170338316069,33675.81299425755,119037.49450549413,0.7011157352661144,31857.61630909005
24,2008,112206.46153846406,0.6840876330094119,40164.15793533437,111412.59340659622,0.719374457257075,38976.93727479968
25,2008,107509.11538461619,0.7542104010498463,25087.180082729086,106460.83516483591,0.8005347831244762,21883.525516463444
26,2008,87917.73076923031,0.6851675705726166,24759.192662732676,87991.40659340608,0.7197256166129762,22400.16702938173
28,2008,112883.9230769221,0.7354249254480578,26314.04183650203,112753.57142857031,0.7778850700672706,23821.9611875955
30,2008,57769.730769232614,0.596587248797924,24684.744792765006,57138.57142857346,0.620412534643215,22495.491671905853
32,2008,80463.26923077134,0.6303659983943817,23155.200785179622,78732.20879121078,0.6625686582941341,20220.913501962088
